Damen Service Alimentaire (Division Ferro Poisson),,
Price Lists,,
,,
Item No.,Description,Regular CAD
BITTOR,BITTERS ORANGE- 5OZ,18.9500 
BITTORANGE,ANGOSTURA - ORANGE BITTERS (100ML),27.2000 
BITTPC,BITTERS FUJI PEACH 4 OZ,28.0000 
BITTPEYCHAU,BITTERS PEYCHAUDS (296ML),29.7500 
BITTYUZU,YUZU SYRUP 500ML,35.0500 
BKALE,BABY KALE,17.2000 
BKC-002W,BLACK WHOLE COD 4/6 - GINDARA- 1X30LBS- CAN,0.0000 
BKC-005F,BALCK COD FARM RAISE 4-6LB,16.4000 
BKC-007,BLACK COD 7UP J-CUT 1X50LB INTER,952.2500 
BKC-007F,BLACK COD FRESH- 5/7- 1X50LBS,0.0000 
BKC-008,Morue Charbonnière 7 up j-cut 1X50lbs,"1,129.0000 "
BKC-008F,WILD BLACK COD FRAIS- 4/5 LBS,0.0000 
BKC-011,BLACK COD FILLET 6OZ-1X10LBS,239.8000 
BKC-012,Morue Charbonnière Filet-congelé- (1X10LBS),199.8000 
BKC-013,BLACK COD FILLET 8 ONZ 1X10LBS,0.0000 
BKC-014,BLACK COD PORTION - 8 OZ - SKIN ON - IVP (1 X 10 LB) - USA - SINBAD,189.8500 
BLACKB,BLACKBERRIES,34.0000 
BLACKPCS,PACK BLACKBERRIES,4.9500 
BLCHICKWS,BONLESS CHICKEN BREAST W/SKIN / 20KG,244.8000 
BLCKBEAN,CLIC - BLACK TURTLE BEAN - 6 X 2.84 L,47.9500 
BLDMDSUS,BLACK DIAMOND RIBBONSLICE WHITE SWISS CHEESE SLICES 2KG,34.9000 
BLDMDTR,BLACK DIAMOND RIBBONSLICE YELLOW CHEDDAR CHEESE SLICES 2KG,33.7000 
BLEACHPARIS,LA PARISIENNE - BLEACH / EAU DE JAVEL (3X3.6L),15.0000 
BLIVER,BEEF LIVER (AVER. WEIGHT 8.15KG),57.2000 
BLKNAPKIN,2 PLY BLACK DINNER NAPKIN 1/8  (5X200),161.8000 
BLOODOR,BLOODIE ORANGE (15KG),77.9500 
BLS-002F,B LINER SNAPPER 1-2 FRESH- CW,0.0000 
BLUEB,BLUEBERRIES (12X1),34.0000 
BLUEBHALF,( HALF / DEMI ) BLUEBERRIES =6UN,22.0000 
BLUEBPCS,( PACK ) BLUEBERRIES,4.1000 
BLUECHEES,CASTELLO - BLUE CHEESE ROLL (APPROX. 3KG),74.9500 
BMFF,(4152) CAVENDISH CRINKLE CUT 3/8,38.7500 
BOEUFHAC,FROZEN GROUNDED BEEF / EXTRA THIN / *5 X TIMES* (5 KG),67.9500 
BOIL,BOILERS ONION,4.2500 
BOKCHOYBIG,BIG BOCK CHOY (40LBS),55.9500 
BOLCDT,BOL COUPE DE THON (BASE ONLY),88.5000 
BOLPUMP,PUMPKIN (MEDIUM),3.0500 
BON-010,DRIED BONITO FLAKES 453G,18.9000 
BONELESSRIBEYEX,COMMERCIAL RIBEYE BONELESS (KG),25.1500 
BONITOFLAKE,DRIED SHAVED BONITO / 6 X 453 GR,113.4000 
